	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Tnrc6a	0	0.251272720803998	0.436	0.251	0
Zmat2	0	0.251165461848894	0.592	0.406	0
E130114P18Rik	0	0.250901324612533	0.199	0.004	0
Adora1	0	0.250757300706123	0.218	0.011	0
Lrrc4b	0	0.250698778444918	0.202	0.006	0
Ascl1	0	0.250693001742461	0.131	0.004	0
Abi2	0	0.250620540574087	0.296	0.087	0
Rit2	0	0.250565385513587	0.216	0.011	0
Gadd45a	0	0.2504924289587	0.302	0.156	0
Galnt2	0	0.250259864332882	0.194	0.042	0
Slc25a23	0	0.250161661747925	0.269	0.047	0
Ptn	1.2838129217052e-306	0.274495326937737	0.414	0.243	2.72476454502712e-302
Pbxip1	3.09957420187869e-306	0.344665939626359	0.424	0.294	6.57853628606732e-302
Erbin	2.23270057424161e-303	0.260465774728895	0.366	0.225	4.7386836987704e-299
Csrp1	6.40743169628558e-296	0.507498677986372	0.366	0.228	1.35991330321965e-291
Pgp	7.90946233682249e-288	0.300445257180833	0.336	0.208	1.67870428636721e-283
Rnf7	5.75283955927748e-287	0.330120853630187	0.737	0.638	1.22098266806105e-282
2200002D01Rik	1.38775892549834e-283	0.316605082759688	0.16	0.066	2.94537954347768e-279
Tmbim1	1.21882373755679e-280	0.281721897099209	0.426	0.295	2.58683150059053e-276
